DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-11-01 00:00:01.461683,4,1636,2527,1823,1146,1209,306,763
2018-11-01 00:15:00.813986,4,1672,2555,1861,1208,1269,307,769
2018-11-01 00:30:01.336287,4,1699,2571,1874,1275,1324,310,787
2018-11-01 00:45:00.833620,4,750,2589,875,1327,1382,310,784
2018-11-01 01:00:01.037921,4,757,2597,878,1331,1384,310,785
2018-11-01 01:15:00.849222,4,761,2601,880,1341,1395,310,787
2018-11-01 01:30:01.159524,4,761,2602,883,1347,1400,309,791
2018-11-01 01:45:01.001828,4,763,2604,883,1349,1402,310,793
2018-11-01 02:00:12.697745,4,769,2614,884,1375,1425,310,795
2018-11-01 02:15:07.360236,4,781,2618,892,1420,1465,310,795
2018-11-01 02:30:00.862727,4,787,2620,893,1438,1476,310,796
2018-11-01 02:45:00.994032,4,788,2623,894,1454,1481,311,794
2018-11-01 03:00:00.863331,4,789,2626,895,1461,1486,311,795
2018-11-01 03:15:00.820663,4,793,2625,896,1469,1491,311,796
2018-11-01 03:30:00.804966,4,795,2630,900,1472,1494,311,798
2018-11-01 03:45:00.823275,4,795,2630,900,1467,1496,311,799
2018-11-01 04:00:01.232545,4,795,2633,901,1471,1496,312,799
2018-11-01 04:15:00.825872,4,795,2632,901,1471,1496,312,800
2018-11-01 04:30:01.242171,4,795,2633,901,1472,1496,312,800
2018-11-01 04:45:02.304440,4,795,2634,914,1476,1500,312,799
2018-11-01 05:00:00.969773,4,795,2632,902,1478,1503,312,799
2018-11-01 05:15:00.821073,4,795,2632,902,1479,1502,312,815
2018-11-01 05:30:01.336376,4,795,2630,902,1480,1505,312,815
2018-11-01 05:45:00.787709,4,795,2629,901,1479,1503,312,815
2018-11-01 06:00:00.801010,4,791,2623,901,1477,1500,312,815
2018-11-01 06:15:00.833311,4,790,2611,893,1473,1494,312,814
2018-11-01 06:30:00.787612,4,786,2597,885,1471,1488,312,804
2018-11-01 06:45:00.789913,4,783,2566,863,1450,1462,312,785
2018-11-01 07:00:01.205215,4,771,2515,842,1429,1440,312,768
2018-11-01 07:15:00.778516,4,759,2465,821,1408,1417,313,754
2018-11-01 07:30:01.426818,4,742,2387,802,1383,1341,313,733
2018-11-01 07:45:00.804119,4,717,2314,776,1208,1257,312,640
2018-11-01 08:00:01.407420,4,686,2207,745,1167,1208,312,603
2018-11-01 08:15:01.012721,4,629,2085,698,1124,1164,310,572
2018-11-01 08:30:01.333022,4,560,1919,646,1059,1074,309,543
2018-11-01 08:45:00.850356,4,498,1732,585,1005,1013,309,517
2018-11-01 09:00:00.795656,4,417,1576,494,925,924,307,482
